time,S1,I1,R1,V1,S2,I2,R2,V2,S3,I3,R3,V3,Med_Cost,Wage_Loss,Death_Cost,Vacc_Cost,GDP_Loss,Total_Rate,Cumulative_Med_Cost,Cumulative_Wage_Loss,Cumulative_Death_Cost,Cumulative_Vacc_Cost,Cumulative_GDP_Loss,Cumulative_Cost
56.0,3869576.1842820654,855.3951662712614,991.838639916151,2374650.581911741,19526823.753862135,9676.37192680021,7244.11857121764,11986763.755639827,8649527.433900572,7867.845596699187,3347.89605040136,5311417.824452329,4563732.950745469,1141948.659811689,520738.88729435374,703500478.1132593,5681363.14014439,715408261.7512552,44634258.92932027,11215303.62421004,5048442.269836858,22791615366.735065,323837698.98823017,23176351070.546654
57.0,3842617.9188087806,937.293199467333,1099.1878909390168,2401419.6001008064,19389997.333879787,10633.65146556383,8052.728083800763,12121824.286570832,8588535.227574894,8664.17465790601,3728.8379455248914,5371232.7598216785,5020332.510614646,1255572.8881538985,573438.2068911801,711426484.878601,5681363.14014439,723957191.624405,49654591.43993492,12470876.512363937,5621880.476728038,23503041851.613667,329519062.1283746,23900308262.17106
58.0,3816045.6306122406,1025.7937715520843,1216.6773454799272,2427785.8982707206,19255051.86681092,11671.37170845535,8940.294332762478,12254844.467147844,8528343.771172827,9529.426155350699,4147.85181703039,5430139.950854795,5515875.74582502,1378819.643709668,630697.9777724877,719232666.5099354,5681363.14014439,732439423.0173869,55170467.18575994,13849696.156073604,6252578.454500525,24222274518.123604,335200425.268519,24632747685.188446
59.0,3789852.2419624273,1121.315720751339,1345.1100890924986,2453755.3322277227,19121946.51601928,12794.949087424435,9913.342270204223,12385853.192623077,8468932.498382786,10468.44167747673,4608.1808154560185,5488151.879124286,6053042.870568242,1512344.4822383036,692838.4910394326,726920712.046149,5681363.14014439,740860301.0301393,61223510.05632818,15362040.638311908,6945416.945539958,24949195230.169754,340881788.4086634,25373607986.218586
60.0,3764030.708118401,1224.2955016043572,1485.3387963205441,2479333.6575836684,18990640.317551013,14010.053763356093,10978.825588437685,12514878.803097181,8410280.645615157,11486.30725627239,5113.290793348799,5545280.756335227,6634644.793082235,1656834.357985886,760196.2031423632,734492277.4404949,5681363.14014439,749225315.9348497,67858154.84941041,17018874.996297795,7705613.148682321,25683687507.61025,346563151.5488078,26122833302.153435
61.0,3738574.014416183,1335.1873045974344,1638.26770549438,2504526.530573719,18861092.155841235,15322.61335432174,12144.14590836689,12641949.08489606,8352367.236850188,12588.358424789712,5666.881106811287,5601538.523618217,7263625.468115009,1813008.1443296436,833124.0699091257,741948985.6137867,5681363.14014439,757540106.4362848,75121780.31752542,18831883.14062744,8538737.218591448,26425636493.224037,352244514.6889522,26880373408.589718
62.0,3713475.1734620337,1454.463116156904,1804.8545779394126,2529339.508843864,18733260.740406528,16738.815861683663,13417.172010219349,12767091.271721555,8295171.06919811,13780.184585275083,6272.895526383489,5656936.850690236,7943063.861514863,1981617.058823514,911991.8349587602,749292426.4937023,5681363.14014439,765810462.3891438,83064844.17904028,20813500.199450955,9450729.053550208,27174928919.71774,357925877.8290966,27646183870.978863
63.0,3688727.2223797645,1582.6127418555536,1986.112675288577,2553778.0522030853,18607104.58291682,18265.112165092607,14806.259380189553,12890332.045537885,8238670.698706544,15067.633052968971,6935.533381758526,5711487.134858734,8676175.71990991,2163445.038706946,997186.2966400227,756524157.0377654,5681363.14014439,774042327.2331666,91741019.89895019,22976945.238157902,10447915.35019023,27931453076.755505,363607240.969241,28420226198.21203
64.0,3664323.2201943723,1720.1437566881002,2183.1127002126323,2577847.5233487217,18482581.97562527,19908.21749736266,16320.269616485835,13011697.53726087,8182844.427167296,16456.812192762744,7659.260726442115,5765200.499913505,9466314.838150568,2359308.993608456,1089111.5149572145,763645701.2443058,5681363.14014439,782241799.7311665,101207334.73710075,25336254.231766358,11537026.865147443,28695098777.99981,369288604.10938543,29202467997.943195
65.0,3640256.2452911544,1867.5814094543014,2396.984740535108,2601553.188558851,18359650.970440548,21675.112333941797,17968.59002268104,13131213.327202816,8127670.289375574,17954.09407535469,8448.821673567834,5818087.79487551,10316974.05030919,2570058.9893799247,1188188.9866953555,770658550.1483854,5681363.14014439,790415135.3149142,111524308.78740995,27906313.22114628,12725215.851842798,29465757328.148193,374969967.24952984,29992883133.25811
