time,S1,I1,R1,V1,S2,I2,R2,V2,S3,I3,R3,V3,Med_Cost,Wage_Loss,Death_Cost,Vacc_Cost,GDP_Loss,Total_Rate,Cumulative_Med_Cost,Cumulative_Wage_Loss,Cumulative_Death_Cost,Cumulative_Vacc_Cost,Cumulative_GDP_Loss,Cumulative_Cost
121.0,2739414.946382752,633292.416972351,1242863.820663921,1630502.8159809778,9656270.543916717,5661031.882921666,8053312.760204406,8159892.812957204,2853364.3327202857,4064574.113276146,3467136.7166683525,3587085.8373352024,1665710864.8377624,651961549.8452029,269205329.5520389,478378737.2339362,5681363.14014439,3070937844.609085,31384847175.995575,12230147425.65945,5211080000.891624,54907482782.31855,693126303.097615,104426683687.96283
122.0,2664370.6034642584,640353.0093396462,1316299.903536725,1625050.4836593727,9235235.014811968,5682668.336998832,8484076.191566624,8128528.456622569,2677115.6894277763,4077815.4388228236,3645319.590310918,3571910.2814384685,1672454555.0539374,654683087.8701422,270083278.8210581,476519494.56872183,5681363.14014439,3079421779.4540043,33057301731.04951,12884830513.529593,5481163279.712683,55384002276.887276,698807666.2377594,107506105467.41684
123.0,2591591.731978996,644840.6227106026,1390090.1798478602,1619551.4654625433,8836435.381462244,5683549.490099581,8913612.241809614,8096910.886628552,2514073.156845535,4078504.6926937173,3822942.1936323647,3556640.9568283693,1673428684.7250273,655107446.1337539,270128948.51816523,474646174.32696,5681363.14014439,3078992616.844051,34730730415.774536,13539937959.663347,5751292228.230848,55858648451.21423,704489029.3779037,110585098084.2609
124.0,2521341.773825759,646809.6793722215,1463914.1498508835,1614008.3969511383,8460384.353613392,5664810.384730702,9340249.364785686,8065063.8968702145,2363928.880548617,4067515.4686523154,3999425.250570013,3541291.4002290415,1668964993.6670425,653362831.7945715,269400174.7895841,472760205.69924206,5681363.14014439,3070169569.0905848,36399695409.44158,14193300791.457918,6020692403.020432,56331408656.913475,710170392.518048,113655267653.35149
125.0,2453835.1783276675,646352.5321623298,1537462.150069731,1608424.1394402739,8107269.159144649,5627799.458543532,9762427.8735413,8033011.508770514,2226246.2250880213,4045803.622368661,4174236.446986845,3525874.7055564597,1659448862.5823834,649599688.4680573,267960270.2815971,470863018.25071675,5681363.14014439,3053553202.722899,38059144272.023964,14842900479.925976,6288652673.30203,56802271675.16419,715851755.6581924,116708820856.07439
126.0,2389238.7665648405,643593.8085572827,1610439.694444267,1602801.7304336121,7776993.973692935,5574021.639929181,10178714.720815098,8000777.665562781,2100491.1650110227,4014373.1125307283,4346893.30924178,3510403.4132164563,1645303760.6115646,643984512.1977865,265875759.08982763,468956025.2574514,5681363.14014439,3029801420.2967744,39704448032.63553,15486884992.123762,6554528432.391857,57271227700.421646,721533118.7983367,119738622276.37115
127.0,2327674.3033548286,638684.3056482779,1682571.054696368,1597144.3363005277,7469224.005812668,5505084.432752557,10587813.589851951,7968385.971582817,1986060.9300542437,3974246.111961689,4516964.52792323,3494889.4300608244,1626976787.938294,636694055.2428931,263214393.6749139,467040609.82888347,5681363.14014439,2999607209.825129,41331424820.57382,16123579047.366655,6817742826.0667715,57738268310.25053,727214481.9384811,122738229486.19629
128.0,2269221.965294809,631794.777083551,1753602.0493847446,1591455.2082368978,7183428.982679133,5422648.889598827,10988570.650894541,7935859.476827494,1882309.1743918671,3926437.8953876016,4684069.953520209,3479343.9767003115,1604925755.1808527,627910105.1585696,260043487.6400026,465118113.7447058,5681363.14014439,2963678824.864275,42936350575.75468,16751489152.525225,7077786313.706774,58203386423.99523,732895845.0786254,125701908311.06056
129.0,2213924.4071544223,623109.8998757895,1823302.0507313723,1585737.6422384183,6918924.330572285,5328386.698131216,11379976.466242285,7903220.5050542075,1788567.330925277,3871936.6068023085,4847879.503910646,3463777.5583617575,1579608059.3333378,617814954.3937746,256428571.49608025,463189828.8342007,5681363.14014439,2922722777.197538,44515958635.08801,17369304106.919,7334214885.202854,58666576252.82943,738577208.2187698,128624631088.2581
130.0,2161791.1596380263,612822.6464365107,1891465.2503972973,1579994.9435281684,6674908.873312806,5223944.004022919,11761164.600397872,7870490.522266398,1704162.1199113512,3811687.70519403,5008111.219576483,3448199.955318126,1551471460.3890762,606587612.7867103,252432358.34430382,461256990.6589899,5681363.14014439,2877429785.3192244,46067430095.47709,17975891719.705708,7586647243.547158,59127833243.48842,744258571.3589141,131502060873.57733
131.0,2112803.1323613604,601129.2226986495,1957911.2493092548,1574230.395630738,6450498.341188815,5110912.097901332,12131407.519399846,7837690.041510001,1628429.4042302063,3746582.6804719684,5164528.686269916,3432620.229027899,1520946739.3723698,594400764.6326421,248113992.64039144,459320774.22219044,5681363.14014439,2828463634.007738,47588376834.84946,18570292484.33835,7834761236.18755,59587154017.71061,749939934.4990585,134330524507.58507
132.0,2066917.040961657,588224.6723975528,2022485.052560319,1568447.2340804744,6244754.3715482345,4990804.714503927,12490110.354527667,7804838.559420165,1560724.72855566,3677451.5101019945,5316938.020931741,3417046.740410594,1488442128.238159,581418434.1427327,243528547.11052194,457382291.41266567,5681363.14014439,2776452764.044224,49076818963.087616,19151710918.481083,8078289783.298072,60044536309.123276,755621297.6392028,137106977271.62929
133.0,2024069.622451989,574299.193856099,2085056.5591001038,1562648.6245918113,6056708.985677611,4865041.425094711,12836803.069406299,7771954.519821373,1500430.9595904085,3605058.274854638,5465184.588465097,3401487.1770898458,1454339342.1239161,567794297.2324814,238726729.3817808,455442589.89694834,5681363.14014439,2721984321.775271,50531158305.21153,19719505215.713566,8317016512.6798525,60499978899.020226,761302660.7793472,139828961593.40457
134.0,1984181.5421920107,559535.1741445971,2145519.6382519384,1556837.6454114567,5885384.733225327,4734936.448202817,13171131.518768836,7739055.299803011,1446963.472080391,3530099.351595833,5609149.589459252,3385948.5868645143,1418991012.610074,553670563.1503979,233754759.81465903,453502653.18714434,5681363.14014439,2665600351.9024196,51950149317.82161,20273175778.863964,8550771272.494512,60953481552.20737,766984023.9194915,142494561945.30698
135.0,1947160.9343977892,544104.9084258265,2203790.8836915465,1551017.2734848403,5729810.85505343,4601692.108853215,13492847.822114732,7706157.213978615,1399773.3201873775,3453203.6357391365,5748746.62891661,3370437.4151568655,1382719305.0053232,539177341.4763775,228654384.2817837,451563401.63770264,5681363.14014439,2607795795.5413313,53332868622.826935,20812353120.34034,8779425656.776295,61405044953.84507,772665387.0596359,145102357740.8483
136.0,1912906.5491499624,528168.948025855,2259808.1287935027,1545190.374030683,5589035.905271159,4466396.156333873,13801800.405309573,7673275.533085385,1358348.8049150964,3374934.3006031467,5883918.349844526,3354959.5446372204,1345815504.3180304,524432409.37114483,223462989.2275339,449625694.1546976,5681363.14014439,2549017960.2115507,54678684127.144966,21336785529.711483,9002888646.003828,61854670647.99977,778346750.1997802,147651375701.05984
137.0,1881310.4932028698,511875.0157272712,2313528.797943231,1539359.6931266305,5462137.255517954,4330022.224036856,14097924.006908191,7640424.513536989,1322215.792504105,3295791.6729444526,6014633.199021533,3339520.3355298988,1308540377.1635396,509541302.3677251,218213791.10594884,447690330.4288402,5681363.14014439,2489667164.206198,55987224504.3085,21846326832.07921,9221102437.109777,62302360978.42861,784028113.3399246,150141042865.26605
138.0,1852260.5812013377,495357.4032793011,2364928.16265962,1533527.852859744,5348227.984216221,4193432.7037835796,14381229.877054514,7607617.434945675,1290937.1043734704,3216216.8652293906,6140882.364830364,3324124.665566765,1271125121.1445973,494597652.3764928,212936076.32635745,445758053.53258926,5681363.14014439,2430098266.520181,57258349625.4531,22340924484.4557,9434038513.436134,62748119031.961205,789709476.4800689,152571141131.78622
139.0,1825642.3159601137,478736.77843115956,2413997.5569259874,1527697.3486827426,5246461.563205447,4057383.4495998444,14651796.343931742,7574866.643262957,1264111.2332259268,3136595.8803262687,6262676.9176742565,3308776.9687735382,1233772750.2238495,479683711.43606156,207655472.82211858,443829552.7553199,5681363.14014439,2370622850.377494,58492122375.67695,22820608195.89176,9641693986.258253,63191948584.71652,795390839.6202133,154941763982.16373
140.0,1801340.530117172,462120.322503906,2460742.59880085,1521870.5485780747,5156034.760846041,3922529.767269109,14909759.874461045,7542183.597423795,1241370.6032158567,3057263.9557507606,6380045.168508689,3293481.2725246847,1196659778.5202231,464871004.74103385,202394237.7568868,441905466.56650954,5681363.14014439,2311511850.7247977,59688782154.197174,23285479200.632797,9844088224.01514,63633854051.283035,801072202.7603576,157253275832.88852
141.0,1779240.7224165443,445602.1284227639,2505181.4554404547,1516049.6937202401,5076189.112366405,3789433.2536707064,15155306.716026494,7509578.917936383,1222379.5397465634,2978509.9764682543,6493030.251264723,3278241.2325204504,1159938093.6567254,450221067.9172353,197171549.98673382,439986385.6277721,5681363.14014439,2252998460.3286114,60848720247.8539,23735700268.550034,10041259774.001875,64073840436.910805,806753565.900502,159506274293.21713
142.0,1759230.1249931187,429263.7954139641,2547343.1792616574,1510236.900331263,5006211.270245817,3658569.124170985,15388665.169470904,7477062.436112284,1206832.0807764353,2900580.8256203276,6601687.928133833,3263060.165469396,1123736930.2290087,435786231.30526966,192003798.57489938,438072855.78840685,5681363.14014439,2195281179.0377293,61972457178.08291,24171486499.855305,10233263572.576775,64511913292.69921,812434929.0406463,161701555472.25485
143.0,1741198.5367342283,413175.1648880909,2587266.135902407,1504434.1624752767,4945432.4966117665,3530333.7420135243,15610098.518415755,7444643.242958943,1194449.7279735398,2823685.5814188435,6706084.611223959,3247941.07938365,1088164873.7219298,421610421.9848017,186904861.23690224,436165381.017087,5681363.14014439,2138526901.1008651,63060622051.80484,24593096921.840107,10420168433.813677,64948078673.7163,818116292.1807907,163840082373.3557
