confirmed_cases,confirmed_case_rate,critical_rate,deaths,death_rate,age_group,date,date.1
1428126,13.7,0.00,2,0.01,10-19,2022-03-23,2022-03-23
1479851,13.67,0.00,2,0.01,10-19,2022-03-24,2022-03-24
1523955,13.65,0.00,2,0.01,10-19,2022-03-25,2022-03-25
1568965,13.65,0,2,0.01,10-19,2022-03-26,2022-03-26
1609493,13.62,0,2,0.01,10-19,2022-03-27,2022-03-27
1634551,13.62,0.00,3,0.02,10-19,2022-03-28,2022-03-28
1684530,13.64,0.00,3,0.02,10-19,2022-03-29,2022-03-29
1741006,13.63,0.00,3,0.02,10-19,2022-03-30,2022-03-30
1781520,13.6,0.00,3,0.02,10-19,2022-03-31,2022-03-31
1817158,13.59,0.00,4,0.02,10-19,2022-04-01,2022-04-01
1849793,14.0,0,4,0.0,10-19,2022-04-02,2022-04-02
1877777,14.0,0,4,0.0,10-19,2022-04-03,2022-04-03
1893575,13.52,0.00,4,0.02,10-19,2022-04-04,2022-04-04
1893575,13.52,0,4,0.02,10-19,2022-04-04,2022-04-04
1929024,13.52,0,4,0.02,10-19,2022-04-05,2022-04-05
1965008,13.5,0,4,0.02,10-19,2022-04-06,2022-04-06
1991775,13.48,0,4,0.02,10-19,2022-04-07,2022-04-07
2016542,13.46,0,4,0.02,10-19,2022-04-08,2022-04-08
2038617,13.44,0,4,0.02,10-19,2022-04-09,2022-04-09
2057343,13.42,0,4,0.02,10-19,2022-04-10,2022-04-10
2068064,13.41,0,4,0.02,10-19,2022-04-11,2022-04-11
2094465,13.4,0,4,0.02,10-19,2022-04-12,2022-04-12
2117417,13.38,0,5,0.02,10-19,2022-04-13,2022-04-13
2134229,13.36,0,5,0.02,10-19,2022-04-14,2022-04-14
2148124,13.34,0,5,0.02,10-19,2022-04-15,2022-04-15
2159314,13.32,0.00,5,0.02,10-19,2022-04-16,2022-04-16
2168482,13.3,0.00,5,0.02,10-19,2022-04-17,2022-04-17
2173774,13.29,0,5,0.02,10-19,2022-04-18,2022-04-18
2187377,13.28,0,6,0.03,10-19,2022-04-19,2022-04-19
2199165,13.26,0,6,0.03,10-19,2022-04-20,2022-04-20
2208457,13.24,0,6,0.03,10-19,2022-04-21,2022-04-21
2216567,13.23,0,7,0.03,10-19,2022-04-22,2022-04-22
2223903,13.21,0,8,0.04,10-19,2022-04-23,2022-04-23
2229924,13.2,0,8,0.04,10-19,2022-04-24,2022-04-24
2233535,13.19,0,8,0.04,10-19,2022-04-25,2022-04-25
2241849,13.18,0,8,0.04,10-19,2022-04-26,2022-04-26
2249012,13.16,0,8,0.04,10-19,2022-04-27,2022-04-27
2254428,13.15,0,8,0.04,10-19,2022-04-28,2022-04-28
2259176,13.14,0,8,0.04,10-19,2022-04-29,2022-04-29
2263296,13.0,0,8,0.0,10-19,2022-04-30,2022-04-30
2267050,13.0,0,8,0.0,10-19,2022-05-01,2022-05-01
2269312,13.12,0,8,0.03,10-19,2022-05-02,2022-05-02
2275381,13.12,0,8,0.03,10-19,2022-05-03,2022-05-03
2280774,13.11,0,8,0.03,10-19,2022-05-04,2022-05-04
2285437,13.11,0.00,8,0.03,10-19,2022-05-05,2022-05-05
2288558,13.1,0,8,0.03,10-19,2022-05-06,2022-05-06
2292991,13.1,0.00,8,0.03,10-19,2022-05-07,2022-05-07
2297628,13.1,0.00,8,0.03,10-19,2022-05-08,2022-05-08
2300422,13.1,0,8,0.03,10-19,2022-05-09,2022-05-09
2307474,13.1,0,8,0.03,10-19,2022-05-10,2022-05-10
2313279,13.1,0,8,0.03,10-19,2022-05-11,2022-05-11
2318055,13.1,0,8,0.03,10-19,2022-05-12,2022-05-12
2322170,13.1,0,8,0.03,10-19,2022-05-13,2022-05-13
2325832,13.1,0,9,0.04,10-19,2022-05-14,2022-05-14
2328844,13.1,0,9,0.04,10-19,2022-05-15,2022-05-15
2330539,13.1,0,9,0.04,10-19,2022-05-16,2022-05-16
2335375,13.1,0,9,0.04,10-19,2022-05-17,2022-05-17
2339443,13.1,0,9,0.04,10-19,2022-05-18,2022-05-18
2343183,13.1,0,9,0.04,10-19,2022-05-19,2022-05-19
2346397,13.1,0,9,0.04,10-19,2022-05-20,2022-05-20
2349206,13.1,0,9,0.04,10-19,2022-05-21,2022-05-21
2351566,13.1,0,9,0.04,10-19,2022-05-22,2022-05-22
2352976,13.1,0,9,0.04,10-19,2022-05-23,2022-05-23
2356811,13.1,0,9,0.04,10-19,2022-05-24,2022-05-24
2360140,13.1,0,9,0.04,10-19,2022-05-25,2022-05-25
2362722,13.1,0,9,0.04,10-19,2022-05-26,2022-05-26
2364864,13.1,0,9,0.04,10-19,2022-05-27,2022-05-27
2366699,13.1,0,9,0.04,10-19,2022-05-28,2022-05-28
2368305,13.1,0,9,0.04,10-19,2022-05-29,2022-05-29
2369089,13.1,0,9,0.04,10-19,2022-05-30,2022-05-30
2371528,13.1,0,9,0.04,10-19,2022-05-31,2022-05-31
2373619,13.1,0,9,0.04,10-19,2022-06-01,2022-06-01
2374937,13.1,0,9,0.04,10-19,2022-06-02,2022-06-02
2376565,13.1,0,9,0.04,10-19,2022-06-03,2022-06-03
2378181,13.1,0,9,0.04,10-19,2022-06-04,2022-06-04
2379438,13.1,0,9,0.04,10-19,2022-06-05,2022-06-05
2380085,13.1,0,9,0.04,10-19,2022-06-06,2022-06-06
2380894,13.1,0,9,0.04,10-19,2022-06-07,2022-06-07
2382703,13.1,0,9,0.04,10-19,2022-06-08,2022-06-08
2384237,13.1,0,9,0.04,10-19,2022-06-09,2022-06-09
2385410,13.0,0,9,0.0,10-19,2022-06-10,2022-06-10
2386429,13.0,0,9,0.0,10-19,2022-06-11,2022-06-11
2387359,13.0,0,9,0.0,10-19,2022-06-12,2022-06-12
2387872,13.0,0,9,0.0,10-19,2022-06-13,2022-06-13
2389172,13.0,0,9,0.0,10-19,2022-06-14,2022-06-14
2390311,13.1,0,9,0.04,10-19,2022-06-15,2022-06-15
2391233,13.1,0,9,0.04,10-19,2022-06-16,2022-06-16
2392116,13.1,0,9,0.04,10-19,2022-06-17,2022-06-17
2392951,13.1,0.00,9,0.04,10-19,2022-06-18,2022-06-18
2393695,13.1,0.00,9,0.04,10-19,2022-06-19,2022-06-19
2394167,13.1,0,9,0.04,10-19,2022-06-20,2022-06-20
2395334,13.1,0,9,0.04,10-19,2022-06-21,2022-06-21
2396390,13.1,0,9,0.04,10-19,2022-06-22,2022-06-22
2397320,13.1,0,9,0.04,10-19,2022-06-23,2022-06-23
2398137,13.1,0,9,0.04,10-19,2022-06-24,2022-06-24
2398990,13.1,0,10,0.04,10-19,2022-06-25,2022-06-25
2399762,13.09,0,10,0.04,10-19,2022-06-26,2022-06-26
2400185,13.09,0,10,0.04,10-19,2022-06-27,2022-06-27
2401424,13.09,0,10,0.04,10-19,2022-06-28,2022-06-28
2402582,13.09,0,10,0.04,10-19,2022-06-29,2022-06-29
2403744,13.09,0,10,0.04,10-19,2022-06-30,2022-06-30
2404922,13.0,0,10,0.0,10-19,2022-07-01,2022-07-01
2406315,13.0,0,10,0.0,10-19,2022-07-02,2022-07-02
2407624,13.0,0,10,0.0,10-19,2022-07-03,2022-07-03
2407624,13.0,0.00,10,0.0,10-19,2022-07-03,2022-07-03
2407624,13.0,0,10,0.0,10-19,2022-07-03,2022-07-03
2408523,13.09,0,10,0.04,10-19,2022-07-04,2022-07-04
2411027,13.09,0,10,0.04,10-19,2022-07-05,2022-07-05
2413628,13.0,0,10,0.0,10-19,2022-07-06,2022-07-06
2416114,13.09,0,11,0.04,10-19,2022-07-07,2022-07-07
2418870,13.1,0,11,0.04,10-19,2022-07-08,2022-07-08
2422021,13.1,0,11,0.04,10-19,2022-07-09,2022-07-09
2425144,13.1,0,11,0.04,10-19,2022-07-10,2022-07-10
2427230,13.1,0,11,0.04,10-19,2022-07-11,2022-07-11
2433463,13.11,0,11,0.04,10-19,2022-07-12,2022-07-12
2439794,13.0,0,11,0.0,10-19,2022-07-13,2022-07-13
2445884,13.0,0,12,0.0,10-19,2022-07-14,2022-07-14
2452383,13.0,0,12,0.0,10-19,2022-07-15,2022-07-15
2459476,13.14,0.00,13,0.05,10-19,2022-07-16,2022-07-16
2466133,13.14,0.00,13,0.05,10-19,2022-07-17,2022-07-17
2471334,13.15,0,13,0.05,10-19,2022-07-18,2022-07-18
2484981,13.17,0,13,0.05,10-19,2022-07-19,2022-07-19
2497161,13.19,0,13,0.05,10-19,2022-07-20,2022-07-20
2507380,13.19,0,13,0.05,10-19,2022-07-21,2022-07-21
2517556,13.2,0,13,0.05,10-19,2022-07-22,2022-07-22
2528047,13.0,0,13,0.0,10-19,2022-07-23,2022-07-23
2538095,13.0,0,13,0.0,10-19,2022-07-24,2022-07-24
2543649,13.22,0,13,0.05,10-19,2022-07-25,2022-07-25
2556268,13.21,0,13,0.05,10-19,2022-07-26,2022-07-26
2567922,13.2,0,13,0.05,10-19,2022-07-27,2022-07-27
2578276,13.0,0,13,0.0,10-19,2022-07-28,2022-07-28
2588060,13.19,0,13,0.05,10-19,2022-07-29,2022-07-29
2596919,13.18,0,14,0.06,10-19,2022-07-30,2022-07-30
2604518,13.17,0,14,0.06,10-19,2022-07-31,2022-07-31
2609680,13.17,0,14,0.06,10-19,2022-08-01,2022-08-01
2620355,13.15,0,14,0.06,10-19,2022-08-02,2022-08-02
2632281,13.13,0,14,0.06,10-19,2022-08-03,2022-08-03
2642978,13.11,0,14,0.06,10-19,2022-08-04,2022-08-04
