Date,S_0-19,I_0-19,R_0-19,V_0-19,S_20-49,I_20-49,R_20-49,V_20-49,S_50-80+,I_50-80+,R_50-80+,V_50-80+
2021-10-01,6217205.246154866,3034.2891993355624,25833.464645801156,0.0,31427716.583442822,15488.270851925692,87302.14570527937,0.0,13904723.84747284,11167.639113331108,56268.513413842484,0.0
2021-10-02,6216926.413478095,3063.003049418617,26083.583472489096,0.0,31426863.09417135,15492.74437121586,88151.1614574628,0.0,13904456.19003991,11180.592435891214,56523.21752421316,0.0
2021-10-03,6216709.8313954575,3027.12766824129,26336.040936303976,0.0,31426100.849978637,15409.846588404944,88996.30343298642,0.0,13904203.806127531,11178.923998968436,56777.26987351488,0.0
2021-10-04,6216542.511600139,2947.7367097111287,26582.751690152618,0.0,31425612.831495803,15063.829321567333,89830.33918265908,0.0,13904050.692476898,11079.335647017951,57029.97187609779,0.0
2021-10-05,6216408.42535859,2846.269620997238,26818.305020415748,0.0,31425187.983191717,14687.531487877244,90631.48532043587,0.0,13903900.842336278,10982.52753596109,57276.630127774166,0.0
2021-10-06,6216203.516883692,2829.485918372583,27039.997197938326,0.0,31424496.14061832,14613.466374383434,91397.3930073275,0.0,13903645.225486917,10997.366214234957,57517.408298861425,0.0
2021-10-07,6215881.716869681,2932.8001785760102,27258.482951745205,0.0,31423680.12758336,14673.548665309609,92153.32375136469,0.0,13903237.81252841,11164.49263595168,57757.6948356504,0.0
2021-10-08,6215622.0092844395,2962.200156254009,27488.79055930848,0.0,31423010.894202117,14585.644126088911,92910.46167182857,0.0,13902877.601002589,11277.596989425998,58004.80200799782,0.0
2021-10-09,6215392.4532372365,2958.925136722258,27721.621626043685,0.0,31422479.446510475,14371.035663623532,93656.5178259348,0.0,13902581.625012629,11322.27233393355,58256.10265345028,0.0
2021-10-10,6215238.061345367,2882.0594946319757,27952.879160003748,0.0,31422083.729099605,14042.239703542778,94381.03119688589,0.0,13902434.905525897,11216.803261904739,58508.29121221184,0.0
2021-10-11,6215126.825741167,2772.8020578029787,28173.372201032726,0.0,31421879.634255588,13552.733808148729,95074.63193629551,0.0,13902358.446981957,11047.39670533331,58754.15631272221,0.0
2021-10-12,6214974.6926021725,2719.2018005776063,28379.105597252932,0.0,31421643.00741527,13139.856902072384,95724.13568269038,0.0,13902311.21776352,10858.121663477312,58990.6605730146,0.0
2021-10-13,6214799.588130158,2696.3015755054057,28577.11029433887,0.0,31421302.628093682,12868.248779200376,96336.12312714894,0.0,13902157.171066387,10785.9318236304,59216.89710999644,0.0
2021-10-14,6214540.47368163,2761.2638785672298,28771.26243980535,0.0,31420879.30870932,12705.184130526744,96922.50716018683,0.0,13901824.255551936,10897.207096096141,59438.53735198072,0.0
2021-10-15,6214321.329993828,2779.105893746326,28972.564112427226,0.0,31420556.92124512,12457.653847693025,97492.42490721961,0.0,13901607.448238697,10888.141155483527,59664.41060583343,0.0
2021-10-16,6214155.19281439,2742.7176570280353,29175.089528583383,0.0,31420274.38336966,12193.668578334504,98038.94805204203,0.0,13901369.770291725,10901.510380020318,59888.71932826747,0.0
2021-10-17,6214043.068262033,2657.877949899531,29372.05378806897,0.0,31420097.57810992,11848.59408633274,98560.82780378358,0.0,13901176.213888366,10871.237881779343,60112.54822986711,0.0
2021-10-18,6213980.928530973,2534.6432061620894,29557.428262866066,0.0,31420099.382248938,11356.160777167122,99051.45697393028,0.0,13901127.776629515,10698.418463453934,60333.80490704319,0.0
2021-10-19,6213874.715672288,2471.812805391828,29726.471522321997,0.0,31420119.639533807,10888.599432662251,99498.76103356549,0.0,13901085.44565405,10528.894377208146,60545.65996875376,0.0
2021-10-20,6213666.348029899,2519.83620471785,29886.815765384366,0.0,31419881.133338973,10720.845679751284,99905.02098130863,0.0,13900911.173953893,10500.507447102154,60748.31859901598,0.0
2021-10-21,6213487.782108726,2532.8566791281187,30052.361212147174,0.0,31419721.65844388,10490.015488331928,100295.32606782144,0.0,13900760.915546888,10450.483089641251,60948.60136348181,0.0
2021-10-22,6213312.043914787,2542.249594237104,30218.706490977453,0.0,31419560.135074217,10282.344202800377,100664.52072301389,0.0,13900614.658553706,10399.859901338472,61145.48154496718,0.0
2021-10-23,6213106.137447242,2581.468394957466,30385.394157802202,0.0,31419411.457677834,10080.909633967945,101014.63268823124,0.0,13900422.385961432,10398.666626074226,61338.94741250659,0.0
2021-10-24,6212915.064418031,2601.784845587783,30556.15073638287,0.0,31419275.530841276,9885.194134348605,101346.27502440943,0.0,13900290.080698494,10338.530628022663,61531.38867349562,0.0
2021-10-25,6212763.845171713,2580.56173988931,30728.593088399433,0.0,31419306.262216397,9540.723021197671,101660.01476243832,0.0,13900187.737641862,10252.281157877575,61719.98120027322,0.0
2021-10-26,6212599.488137155,2575.9915224031465,30897.5203404436,0.0,31419271.56229021,9291.843010438264,101943.59469938553,0.0,13900091.337547863,10165.171662299452,61903.49078984998,0.0
2021-10-27,6212247.975738857,2759.992582102753,31065.031679041775,0.0,31418967.280263707,9334.620040571888,102205.09969575498,0.0,13899770.855001813,10307.243422509078,62081.9015756911,0.0
2021-10-28,6211858.300897252,2959.993509339909,31254.70559340941,0.0,31418650.305762187,9387.846577204422,102468.84766064367,0.0,13899347.26450969,10546.495738228643,62266.23975209309,0.0
2021-10-29,6211506.574425219,3097.99432067242,31468.431254109848,0.0,31418286.65000049,9484.655311296456,102735.69468824842,0.0,13898918.595708452,10780.263942793668,62461.1403487676,0.0
2021-10-30,6211196.916581489,3177.7450305883676,31698.33838792335,0.0,31418017.328473933,9480.42892045885,103009.24260564479,0.0,13898377.901410196,11115.811273539572,62666.287316277856,0.0
2021-10-31,6210930.408273429,3205.5269017648216,31937.06482480728,0.0,31417713.37468696,9512.553320060764,103281.07199301464,0.0,13897874.232846778,11399.252332409673,62886.51482082637,0.0
2021-11-01,6210711.093597553,3183.836039044219,32178.070363403847,0.0,31417633.780046925,9319.011394495721,103554.20855861461,0.0,13897477.665420882,11563.088220454008,63119.246358677905,0.0
2021-11-02,6210484.98394937,3172.856534163692,32415.159516467356,0.0,31417592.55108972,9104.533448752576,103809.91546156468,0.0,13897151.261652676,11650.059985872216,63358.67836146631,0.0
2021-11-03,6209985.059746952,3438.24946739323,32649.690785655483,0.0,31417181.600667026,9278.857172506112,104046.54216050332,0.0,13896394.055044483,12164.85710655035,63601.08784898084,0.0
2021-11-04,6209593.30820088,3563.4682839690763,32916.22351515136,0.0,31416805.833377827,9404.712027188105,104296.4545950188,0.0,13895683.060483728,12609.943965435932,63866.995550850355,0.0
2021-11-05,6209215.889318456,3660.0347484729414,33197.07593307174,0.0,31416491.315650802,9460.120928931492,104555.56342030033,0.0,13895036.395461481,12970.666655095007,64152.93788343703,0.0
2021-11-06,6208877.874698121,3706.530404913823,33488.5948969655,0.0,31416165.093467902,9523.930891830178,104817.97564030014,0.0,13894462.160150899,13243.074655650445,64454.7651934644,0.0
2021-11-07,6208576.317672606,3712.2141042995954,33784.468223094904,0.0,31415911.183346104,9511.444627808272,105084.37202612055,0.0,13893808.433976866,13583.407072179223,64768.1589509683,0.0
2021-11-08,6208352.240013721,3641.187341262146,34079.57264501688,0.0,31415811.605206236,9346.994723700185,105348.40007009803,0.0,13893391.274771621,13672.403532714621,65096.32169567807,0.0
2021-11-09,6208077.6378769465,3631.038923604378,34364.32319944956,0.0,31415791.347206585,9118.19416163307,105597.45863181465,0.0,13892995.7563801,13737.12816314432,65427.11545676998,0.0
2021-11-10,6207761.459492944,3665.1590581538303,34646.38144890285,0.0,31415467.334499743,9213.384046217525,105826.28145407111,0.0,13892238.891957384,14161.746011313393,65759.36203131707,0.0
2021-11-11,6207378.691400189,3763.0141758846016,34931.29442392756,0.0,31415104.465907015,9340.67317038147,106061.86092263681,0.0,13891495.68876754,14553.98220277035,66110.32902970353,0.0
2021-11-12,6207045.347872308,3800.637403899027,35227.014723793494,0.0,31414831.77521163,9368.397297239808,106306.8274911653,0.0,13890769.240412688,14912.391057037374,66478.36853028799,0.0
2021-11-13,6206831.482945927,3715.557728411649,35525.959325661905,0.0,31414598.309349086,9355.820321568905,106552.87032938038,0.0,13889933.63225534,15364.59628629958,66861.77145837434,0.0
2021-11-14,6206563.112742555,3697.113012360193,35812.77424508505,0.0,31414392.073700733,9318.287234878686,106796.63906442371,0.0,13889034.941112632,15860.0956645572,67264.96322282484,0.0
2021-11-15,6206334.176613781,3642.973885815168,36095.84950040465,0.0,31414331.056896057,9139.869394383755,107036.07370959653,0.0,13888368.265928745,16101.811072658455,67689.92299860946,0.0
2021-11-16,6206052.655861283,3649.6021500882725,36370.741988629525,0.0,31414179.237264603,9068.260234649904,107259.5025007824,0.0,13887730.715543738,16304.92414117085,68124.36031510402,0.0
2021-11-17,6205575.509571226,3852.4018813272387,36645.08854744741,0.0,31413705.53477711,9325.594635173962,107475.87058775443,0.0,13886556.337345313,17037.287782394647,68566.3748723047,0.0
2021-11-18,6205129.735013964,3999.851646161334,36943.413339876075,0.0,31413181.914130047,9612.570280454524,107712.51558953509,0.0,13885299.169219675,17819.497968839703,69041.33281149813,0.0
2021-11-19,6204760.452080663,4053.870190391168,37258.67772894687,0.0,31412744.476707995,9790.726947176798,107971.79634486514,0.0,13884140.375883732,18468.162066335397,69551.46204994494,0.0
2021-11-20,6204287.745469308,4206.136416592271,37579.118114101024,0.0,31412265.33568972,9997.096610561124,108244.5676997565,0.0,13882954.13319398,19115.690287151298,70090.1765188793,0.0
2021-11-21,6203877.641059879,4278.3693645182375,37916.98957560455,0.0,31411827.55852822,10146.33759188455,108533.1038799343,0.0,13881767.584076576,19735.137153368036,70657.27877006818,0.0
2021-11-22,6203475.226007757,4335.573193953458,38262.20079829131,0.0,31411420.22404762,10254.191571758132,108832.58438066104,0.0,13880835.870470427,20072.85057000637,71251.2789595795,0.0
2021-11-23,6203091.537011748,4368.626544709276,38612.83644354404,0.0,31411058.38696952,10309.093671302207,109139.51935921365,0.0,13879975.126865225,20326.353742646064,71858.51939214191,0.0
2021-11-24,6202595.601193966,4511.548226620616,38965.850579414975,0.0,31410225.084566317,10832.438896584124,109449.47653713566,0.0,13878288.419462185,21396.688762999052,72474.89177482821,0.0
2021-11-25,6202090.430446863,4647.604698293039,39334.96485484547,0.0,31409447.331949003,11258.346468167641,109801.32158286647,0.0,13876737.793921059,22282.6477023751,73139.55837657803,0.0
2021-11-26,6201578.105271137,4775.654111006409,39719.240617857875,0.0,31408696.338556916,11623.903711309727,110186.75773181005,0.0,13875213.491712943,23103.080612661095,73843.42767440915,0.0
2021-11-27,6200994.701474227,4960.697347130608,40117.601178644385,0.0,31407914.272345573,11992.11970327102,110600.60795118971,0.0,13873630.708851315,23946.13274325336,74583.15840544483,0.0
2021-11-28,6200454.28948012,5081.610178739282,40537.10034114249,0.0,31407263.275385328,12200.773767899525,111042.95084680527,0.0,13872020.624643343,24779.7183715772,75359.65698509377,0.0
2021-11-29,6200013.974981826,5089.408906396871,40969.61611177919,0.0,31406805.490139563,12201.109545163865,111500.4003153069,0.0,13870749.422928268,25238.291889741497,76172.28518200401,0.0
2021-11-30,6199603.8230623845,5068.232793097262,41400.944144519905,0.0,31406366.99214114,12184.417452915264,111955.59040597898,0.0,13869711.284354178,25445.853879033904,77002.86176680158,0.0
2021-12-01,6198872.827783107,5372.703693960105,41827.46852293446,0.0,31405273.77009317,12826.110804323298,112407.11910254105,0.0,13867567.298663013,26753.452892840276,77839.24844416119,0.0
2021-12-02,6198105.965125722,5677.115732215092,42289.9191420648,0.0,31404088.805688683,13508.543607564465,112909.65070378718,0.0,13865417.494905233,28008.287153983943,78734.21794079672,0.0
2021-12-03,6197317.414721432,5967.476265688206,42788.10901288137,0.0,31403057.3539422,13983.334488136614,113466.31156969609,0.0,13863464.165994937,29010.889370592715,79684.94463448397,0.0
2021-12-04,6196441.355266497,6311.54173247718,43320.10300102799,0.0,31401903.685500048,14543.717725621274,114059.59677436294,0.0,13861321.59071811,30159.366680804265,80679.04260110001,0.0
2021-12-05,6195619.955781502,6560.599015917533,43892.445202582494,0.0,31400867.98348392,14942.58915439471,114696.4273617177,0.0,13859241.985931115,31194.71708012566,81723.29698877312,0.0
2021-12-06,6194872.418007514,6707.524138927841,44493.05785355927,0.0,31400152.46562073,14991.354254579948,115363.18012472388,0.0,13857582.602416059,31765.370660279626,82812.02692367528,0.0
2021-12-07,6193997.883296782,6966.083621561861,45109.03308165746,0.0,31399071.281521354,15405.071851449815,116030.6466272304,0.0,13855799.662550677,32437.632868586206,83922.70458075032,0.0
2021-12-08,6192833.428462191,7485.323168866629,45754.248368944405,0.0,31397253.43475449,16524.45088777948,116729.11435776457,0.0,13852833.27607358,34266.62649089407,85060.0974355387,0.0
2021-12-09,6191651.199704035,7960.657772758301,46461.142523208015,0.0,31395371.08032628,17618.921464093783,117516.99820966145,0.0,13850035.576560758,35844.828419331156,86279.59501992392,0.0
