,S_0-19,I_0-19,R_0-19,V_0-19,S_20-49,I_20-49,R_20-49,V_20-49,S_50-80+,I_50-80+,R_50-80+,V_50-80+,S_total,I_total,R_total,V_total
2020-10-16,6244824.83032233,59.87702698977523,1188.2926506823665,0.0,31523999.74817606,440.00030547647634,6067.251518468856,0.0,13964513.197477877,1085.6440562046091,6561.158465925904,0.0,51733337.77597627,1585.5213886708607,13816.702635077127,0.0
2020-10-17,6244826.771785583,56.39239861605333,1189.8358158026765,0.0,31524004.084433652,429.4802801219288,6073.435286231059,0.0,13964503.003270207,1076.5331415067878,6580.463588294097,0.0,51733333.85948944,1562.40582024477,13843.734690327832,0.0
2020-10-18,6244826.720964663,55.34334878904666,1190.9356865506697,0.0,31523994.451610085,433.8334168718087,6078.714973050023,0.0,13964490.905588148,1069.859550714462,6599.2348611449515,0.0,51733312.07816289,1559.0363163753175,13868.885520745644,0.0
2020-10-19,6244827.675643096,53.425430190415824,1191.8989267165473,0.0,31523989.84518495,432.8252432714486,6084.329571785133,0.0,13964487.901762454,1054.5062922801678,6617.591945273521,0.0,51733305.4225905,1540.7569657420322,13893.820443775201,0.0
2020-10-20,6244827.635137729,52.74725141661385,1192.6176108567665,0.0,31523990.266832806,426.90074807991834,6089.832419117737,0.0,13964498.989722181,1025.8899902507198,6635.120287576601,0.0,51733316.89169271,1505.5379897472521,13917.570317551104,0.0
2020-10-21,6244828.598225784,51.15384498953712,1193.2479292295595,0.0,31523980.715994902,431.4679859892851,6094.816019112782,0.0,13964488.165323619,1020.6472707186853,6651.187405670752,0.0,51733297.4795443,1503.2691016975075,13939.251354013093,0.0
2020-10-22,6244830.56446543,48.75961436584498,1193.675920207104,0.0,31523963.190075,443.6561431521745,6100.153781854328,0.0,13964452.421260647,1040.6562017241886,6666.922537636896,0.0,51733246.175801076,1533.071959242208,13960.752239698328,0.0
2020-10-23,6244823.532845031,55.66466257011436,1193.8024924017989,0.0,31523944.69084391,455.832683270544,6106.476472826687,0.0,13964392.755873336,1083.7047040414275,6683.539422631473,0.0,51733160.979562275,1595.2020498820857,13983.81838785996,0.0
2020-10-24,6244815.501857492,62.70657974885006,1194.7915627610541,0.0,31523950.223226275,442.9985705590889,6113.778203174009,0.0,13964388.173570449,1069.686878247439,6702.139551312304,0.0,51733153.898654215,1575.392028555378,14010.709317247367,0.0
2020-10-25,6244809.4758153055,66.8682572802438,1196.655927415855,0.0,31523951.79211729,435.2296892026845,6119.978193514544,0.0,13964401.684268204,1038.341908091562,6719.97382371162,0.0,51733162.9522008,1540.4398545744903,14036.607944642019,0.0
2020-10-26,6244804.459094943,69.50972512021332,1199.0311799388064,0.0,31523914.392008256,467.1056249988617,6125.502366750794,0.0,13964395.284137323,1028.501496503167,6736.214366181457,0.0,51733114.135240525,1565.1168466222418,14060.747912871058,0.0
2020-10-27,6244801.454250842,69.82100948018666,1201.724739679139,0.0,31523910.01952009,463.33585812395614,6133.644621791945,0.0,13964384.965209154,1023.1334246710148,6751.901366182702,0.0,51733096.43898009,1556.2902922751578,14087.270727653786,0.0
2020-10-28,6244797.462874541,71.09338329516333,1204.4437421657667,0.0,31523888.687743198,476.87898189966774,6141.433274907273,0.0,13964377.724715985,1015.0230202868062,6767.252263735997,0.0,51733063.87533373,1562.9953854816372,14113.129280809037,0.0
2020-10-29,6244784.485093252,81.20671038326792,1207.3081963668333,0.0,31523869.39490957,487.29802640199523,6150.307064030409,0.0,13964355.560977304,1022.3019153130393,6782.137107391084,0.0,51733009.44098013,1590.8066520983025,14139.752367788326,0.0
2020-10-30,6244773.521634233,88.05587158535943,1211.4224941829077,0.0,31523849.14644489,497.85229021062963,6160.001264901622,0.0,13964344.471662842,1018.2314233780136,6797.296913789154,0.0,51732967.139741965,1604.1395851740026,14168.720672873684,0.0
2020-10-31,6244767.578746704,89.0488876371895,1216.372365660163,0.0,31523818.946451217,517.5305501231475,6170.522998664595,0.0,13964324.45814741,1023.3563150558688,6812.185537542354,0.0,51732910.98334533,1629.9357528162059,14199.080901867113,0.0
2020-11-01,6244754.660608533,96.9177766825408,1221.4216147865109,0.0,31523781.799066212,542.5755144629262,6182.6254193314935,0.0,13964321.519075098,1011.2352119331872,6827.245712977324,0.0,51732857.97874984,1650.7285030786543,14231.29274709533,0.0
2020-11-02,6244744.767716607,100.80305459722321,1227.429228797896,0.0,31523771.71219331,538.5417467625033,6196.746059935259,0.0,13964315.655303663,1002.6959217603942,6841.64877458523,0.0,51732832.13521358,1642.0407231201207,14265.824063318385,0.0
2020-11-03,6244742.904862751,96.20267277257031,1233.8924644785595,0.0,31523766.69592361,529.8427817812155,6210.46129461687,0.0,13964318.863547536,985.5665175158953,6855.569934956803,0.0,51732828.4643339,1611.611972069681,14299.923694052231,0.0
2020-11-04,6244744.0743250735,89.17733867599902,1239.748336252738,0.0,31523743.748230085,539.8658308933747,6223.385939031627,0.0,13964295.14139721,996.2593246751322,6868.5992781227815,0.0,51732782.96395236,1625.3024942445059,14331.733553407146,0.0
2020-11-05,6244741.273066754,87.03017134149914,1244.6967619059742,0.0,31523710.86515978,559.0569669292246,6237.077873300618,0.0,13964277.4843936,1000.4388770907258,6882.0767293165745,0.0,51732729.622620136,1646.5260153614495,14363.851364523167,0.0
2020-11-06,6244731.496550564,92.15139992381175,1249.3520495141317,0.0,31523668.050549146,586.655238674099,6252.294212189241,0.0,13964256.894777248,1007.417810990371,6895.687411770346,0.0,51732656.441876955,1686.2244495882817,14397.33367347372,0.0
2020-11-07,6244731.743310811,86.63247493333529,1254.6242142570377,0.0,31523653.312020205,583.9628538641488,6269.725125938246,0.0,13964254.373214306,996.0617560628332,6909.565029639033,0.0,51732639.42854532,1666.6570848603174,14433.914369834318,0.0
2020-11-08,6244731.016431882,82.80341556666838,1259.1801525524195,0.0,31523627.660645835,592.4939369934244,6286.845417179279,0.0,13964209.921039455,1027.2507917718171,6922.8281687818535,0.0,51732568.59811717,1702.54814433191,14468.853738513553,0.0
2020-11-09,6244728.312332645,81.45298862083483,1263.234678735491,0.0,31523600.09487292,602.3169402229702,6304.588186863837,0.0,13964186.535180299,1035.94275376677,6937.5220659429915,0.0,51732514.94238587,1719.712682610575,14505.34493154232,0.0
2020-11-10,6244722.628506038,83.27136504323047,1267.1001289194178,0.0,31523586.617813855,597.3246341844637,6323.057551968024,0.0,13964178.222790629,1029.217501585965,6952.559707794082,0.0,51732487.46911052,1709.8135008136592,14542.717388681524,0.0
2020-11-11,6244717.964006683,83.86244441282666,1271.1735489052246,0.0,31523568.233101614,597.7466895471532,6341.020208845495,0.0,13964128.985589167,1063.8150615098386,6967.1993493312375,0.0,51732415.18269747,1745.4241954698186,14579.393107081956,0.0
2020-11-12,6244705.319874427,92.37963886122333,1275.3004867123018,0.0,31523528.938202657,619.1337143147394,6358.928083033682,0.0,13964110.821585914,1065.7519385573664,6983.426475537054,0.0,51732345.079663,1777.2652917333291,14617.655045283038,0.0
2020-11-13,6244695.696376861,96.8321840035704,1280.4714391363932,0.0,31523489.73284307,638.7456160266161,6378.521540906638,0.0,13964041.738718292,1118.595845506613,6999.665436210123,0.0,51732227.167938225,1854.1736455367995,14658.658416253154,0.0
2020-11-14,6244676.098734057,110.7281610031241,1286.1731049411574,0.0,31523424.625450775,682.729729896407,6399.644819332313,0.0,13963994.737045472,1146.9032449222955,7018.359709613389,0.0,51732095.46123031,1940.3611358218266,14704.177633886859,0.0
2020-11-15,6244661.529599581,117.8871408777336,1293.5832595418422,0.0,31523376.623674873,706.0631623150052,6424.313162817053,0.0,13963922.82884402,1198.8518891660253,7038.319266821592,0.0,51731960.98211847,2022.8021923587642,14756.215689180488,0.0
2020-11-16,6244650.997515879,120.1512482680169,1301.8512358538496,0.0,31523315.74524069,740.4599198428598,6450.794839475113,0.0,13963846.020440355,1253.306998486056,7060.672561167453,0.0,51731812.76319692,2113.9181665969327,14813.318636496417,0.0
2020-11-17,6244634.506772058,128.1323422345148,1310.3608857080826,0.0,31523248.999214884,778.0017464959025,6479.999038624695,0.0,13963773.32380316,1301.1482625587253,7085.527934288946,0.0,51731656.8297901,2207.2823512891428,14875.887858621723,0.0
