Date,S,I,R,V
2020-09-05,31524329.258019846,1029.5430607863893,5148.198919380941,0.0
2020-09-06,31524295.999014445,1003.090986741119,5207.9099988293065,0.0
2020-09-07,31524276.03856444,965.834434841606,5265.127000734672,0.0
2020-09-08,31524256.364199445,931.6701767497527,5318.965623822852,0.0
2020-09-09,31524243.959027562,893.3415520795232,5369.699420373967,0.0
2020-09-10,31524228.807524662,861.1942032569228,5416.998272094697,0.0
2020-09-11,31524192.892516024,852.7150843865983,5461.392399604549,0.0
2020-09-12,31524174.199478023,827.9397323825106,5504.860789610614,0.0
2020-09-13,31524152.72378197,808.2207345947622,5546.05548345031,0.0
2020-09-14,31524141.45405939,780.138413623397,5585.407527004424,0.0
2020-09-15,31524133.381097022,751.3869252926551,5622.231977700144,0.0
2020-09-16,31524121.49225691,729.0218104933647,5656.485932610934,0.0
2020-09-17,31524093.77468657,724.5130002224154,5688.712313218829,0.0
2020-09-18,31524068.218248136,718.3784212039549,5720.403330671195,0.0
2020-09-19,31524074.82026479,680.7530122440266,5751.426722977767,0.0
2020-09-20,31524072.577398404,655.2505122277724,5779.172089379133,0.0
2020-09-21,31524067.473258853,634.8647197128673,5804.662021447142,0.0
2020-09-22,31524070.49656896,608.1709479766994,5828.332483076075,0.0
2020-09-23,31524066.638231374,590.6927592946333,5849.669009342761,0.0
2020-09-24,31524054.88657642,582.6652602731788,5869.448163317502,0.0
2020-09-25,31524043.23381724,575.3040436705049,5888.462139103589,0.0
2020-09-26,31524053.676127933,546.553808045853,5906.770064032723,0.0
2020-09-27,31524041.209978253,543.1898419780472,5922.600179780365,0.0
2020-09-28,31524057.822979152,511.10508509386926,5938.071935765641,0.0
2020-09-29,31524065.51333883,490.68336303107816,5950.803298149604,0.0
2020-09-30,31524047.267355323,497.9566438994987,5961.776000790436,0.0
2020-10-01,31524047.076235328,486.62624245584027,5973.297522230142,0.0
2020-10-02,31524054.94272294,468.23626433200553,5983.8210127428265,0.0
2020-10-03,31524054.861828003,459.3726543924491,5992.765517618669,0.0
2020-10-04,31524058.82565559,447.2447240778758,6000.929620345149,0.0
2020-10-05,31524054.83030369,444.1234119794121,6008.046284341886,0.0
2020-10-06,31524048.870535113,443.2611687851209,6014.868296114469,0.0
2020-10-07,31524047.944876593,437.47049177595585,6021.584631643062,0.0
2020-10-08,31524056.05279975,423.16044095855153,6027.786759302251,0.0
2020-10-09,31524065.191733547,409.03812435899175,6032.7701421053,0.0
2020-10-10,31524071.355584256,399.08796003719544,6036.55645571657,0.0
2020-10-11,31524068.538366534,398.96365935410824,6039.497974121075,0.0
2020-10-12,31524044.735856403,419.84967562771726,6042.41446797686,0.0
2020-10-13,31524024.94792874,435.00215255061676,6047.049918714077,0.0
2020-10-14,31524003.183178335,450.89697388891557,6052.919847782207,0.0
2020-10-15,31523995.447777573,451.47252505613557,6060.079697376077,0.0
2020-10-16,31523999.74817606,440.00030547647634,6067.251518468856,0.0
2020-10-17,31524004.084433652,429.4802801219288,6073.435286231059,0.0
2020-10-18,31523994.451610085,433.8334168718087,6078.714973050023,0.0
2020-10-19,31523989.84518495,432.8252432714486,6084.329571785133,0.0
2020-10-20,31523990.266832806,426.90074807991834,6089.832419117737,0.0
2020-10-21,31523980.715994902,431.4679859892851,6094.816019112782,0.0
2020-10-22,31523963.190075,443.6561431521745,6100.153781854328,0.0
2020-10-23,31523944.69084391,455.832683270544,6106.476472826687,0.0
2020-10-24,31523950.223226275,442.9985705590889,6113.778203174009,0.0
2020-10-25,31523951.79211729,435.2296892026845,6119.978193514544,0.0
2020-10-26,31523914.392008256,467.1056249988617,6125.502366750794,0.0
2020-10-27,31523910.01952009,463.33585812395614,6133.644621791945,0.0
2020-10-28,31523888.687743198,476.87898189966774,6141.433274907273,0.0
2020-10-29,31523869.39490957,487.29802640199523,6150.307064030409,0.0
2020-10-30,31523849.14644489,497.85229021062963,6160.001264901622,0.0
2020-10-31,31523818.946451217,517.5305501231475,6170.522998664595,0.0
2020-11-01,31523781.799066212,542.5755144629262,6182.6254193314935,0.0
2020-11-02,31523771.71219331,538.5417467625033,6196.746059935259,0.0
2020-11-03,31523766.69592361,529.8427817812155,6210.46129461687,0.0
2020-11-04,31523743.748230085,539.8658308933747,6223.385939031627,0.0
2020-11-05,31523710.86515978,559.0569669292246,6237.077873300618,0.0
2020-11-06,31523668.050549146,586.655238674099,6252.294212189241,0.0
2020-11-07,31523653.312020205,583.9628538641488,6269.725125938246,0.0
2020-11-08,31523627.660645835,592.4939369934244,6286.845417179279,0.0
2020-11-09,31523600.09487292,602.3169402229702,6304.588186863837,0.0
2020-11-10,31523586.617813855,597.3246341844637,6323.057551968024,0.0
2020-11-11,31523568.233101614,597.7466895471532,6341.020208845495,0.0
2020-11-12,31523528.938202657,619.1337143147394,6358.928083033682,0.0
2020-11-13,31523489.73284307,638.7456160266161,6378.521540906638,0.0
2020-11-14,31523424.625450775,682.729729896407,6399.644819332313,0.0
2020-11-15,31523376.623674873,706.0631623150052,6424.313162817053,0.0
2020-11-16,31523315.74524069,740.4599198428598,6450.794839475113,0.0
2020-11-17,31523248.999214884,778.0017464959025,6479.999038624695,0.0
2020-11-18,31523148.399210077,846.4276015367426,6512.1731883907305,0.0
2020-11-19,31523046.96007602,910.174110609193,6549.8658133763265,0.0
2020-11-20,31522915.709405087,998.6296594286301,6592.660935490007,0.0
2020-11-21,31522735.672709763,1128.7433976960538,6642.583892545134,0.0
2020-11-22,31522592.885629226,1211.0576956872812,6703.056675091181,0.0
2020-11-23,31522495.4009126,1241.539906945237,6770.05918045777,0.0
2020-11-24,31522350.251208503,1317.4920946687823,6839.256696831935,0.0
2020-11-25,31522196.44749199,1396.1402508112733,6914.412257205285,0.0
2020-11-26,31521932.019553274,1579.2606099939376,6995.719836736594,0.0
2020-11-27,31521709.998152457,1705.1819793644408,7091.819868182407,0.0
2020-11-28,31521499.4572518,1809.6518750771922,7197.890873128744,0.0
2020-11-29,31521307.446706165,1887.4507694457852,7312.102524394507,0.0
2020-11-30,31521172.007218786,1902.7923555817852,7432.200425636534,0.0
2020-12-01,31520998.168220915,1955.860590068497,7552.9711890216395,0.0
2020-12-02,31520782.93307686,2046.5241610928117,7677.542762052217,0.0
2020-12-03,31520556.320790667,2141.662655722108,7809.01655361266,0.0
2020-12-04,31520325.365873434,2233.904655297173,7947.729471269531,0.0
2020-12-05,31520125.10452079,2288.4905689075076,8093.404910302849,0.0
2020-12-06,31519930.57154534,2333.5458516881845,8242.88260297066,0.0
2020-12-07,31519739.785958353,2371.861545998065,8395.352495645926,0.0
2020-12-08,31519557.76272083,2398.9970376802257,8550.240241485537,0.0
2020-12-09,31519342.51392204,2457.880283552767,8706.605794405568,0.0
2020-12-10,31519103.04695101,2536.8762200178876,8867.07682896842,0.0
2020-12-11,31518880.382335156,2593.3154937564027,9033.302171085063,0.0
2020-12-12,31518572.54884601,2731.070307774621,9203.380846211418,0.0
2020-12-13,31518249.56575024,2873.3914722293275,9384.042777525654,0.0
2020-12-14,31518003.48596413,2927.8999800342935,9575.61405583306,0.0
2020-12-15,31517714.36403441,3021.884281691447,9770.751683896742,0.0
2020-12-16,31517364.21779283,3170.067886311057,9972.714320857649,0.0
2020-12-17,31517042.081364434,3278.952251747239,10185.966383817178,0.0
2020-12-18,31516705.011196353,3394.7992148522185,10407.189588793113,0.0
2020-12-19,31516361.047144298,3509.0308800194844,10636.921975681882,0.0
2020-12-20,31515982.231754176,3649.7813169778674,10874.98692884509,0.0
2020-12-21,31515699.60668882,3683.849467668704,11123.543843510028,0.0
2020-12-22,31515423.224408038,3710.0899618522017,11373.68563010898,0.0
2020-12-23,31515111.09283619,3771.152495018469,11624.754668792168,0.0
2020-12-24,31514772.216609534,3855.1468379319354,11879.63655253474,0.0
2020-12-25,31514307.614792295,4059.169650383585,12140.215557320416,0.0
2020-12-26,31513914.31587008,4176.258569401747,12416.425560515652,0.0
2020-12-27,31513575.397997882,4230.629108141402,12700.97289397342,0.0
2020-12-28,31513329.90286235,4188.486892165665,12988.610245479289,0.0
2020-12-29,31512930.845913578,4304.842480115915,13271.311606301644,0.0
2020-12-30,31512606.20247161,4338.540554266295,13562.256974119757,0.0
2020-12-31,31512315.01375648,4337.441688262193,13854.54455525326,0.0
2021-01-01,31511956.286479257,4405.43402813643,14145.279492602756,0.0
2021-01-02,31511704.01287672,4362.783003801106,14440.204119475067,0.0
2021-01-03,31511529.213897318,4247.672014485614,14730.114088193184,0.0
2021-01-04,31511183.86446776,4314.1152372833085,15009.020294954524,0.0
2021-01-05,31510940.909569234,4274.043672588794,15292.046758174267,0.0
2021-01-06,31510694.369803026,4242.298047763924,15570.332149208265,0.0
2021-01-07,31510375.221463773,4287.1873097995185,15844.59122642663,0.0
2021-01-08,31510192.444419906,4193.350763086159,16121.204817007858,0.0
2021-01-09,31509993.050443992,4125.302649750008,16388.64690625897,0.0
2021-01-10,31509818.993678525,4038.902529820757,16649.103791656926,0.0
2021-01-11,31509740.239197485,3865.673619845634,16901.087182673764,0.0
2021-01-12,31509603.7446334,3765.8227093984465,17137.432657207584,0.0
2021-01-13,31509460.431796685,3682.2594245183755,17364.308778801616,0.0
2021-01-14,31509333.25334058,3590.63189228335,17583.114767142633,0.0
2021-01-15,31509209.168914415,3504.609445223832,17793.221640366435,0.0
2021-01-16,31509091.135022618,3420.726861270254,17995.13811611818,0.0
2021-01-17,31508952.1107132,3365.806531784823,18189.08275502302,0.0
2021-01-18,31508876.056126975,3253.4445896466827,18377.499283386045,0.0
2021-01-19,31508785.94362339,3165.408688706008,18555.64768790979,0.0
2021-01-20,31508717.721861828,3063.679767543409,18725.598370632837,0.0
2021-01-21,31508663.34985368,2957.3943468373063,18886.255799485774,0.0
2021-01-22,31508608.781132676,2860.93061604981,19037.288251275844,0.0
2021-01-23,31508536.967573933,2790.4733749176758,19179.5590511516,0.0
2021-01-24,31508454.86536919,2736.8640847995084,19315.270546014006,0.0
2021-01-25,31508419.44172192,2641.7043657611493,19445.853912322294,0.0
2021-01-26,31508359.67099148,2579.442903402974,19567.886105118858,0.0
2021-01-27,31508233.510422006,2589.349142420527,19684.14043557571,0.0
2021-01-28,31508129.931124184,2576.433163599623,19800.635712218736,0.0
2021-01-29,31508054.934302744,2536.5892110208542,19915.47648623641,0.0
2021-01-30,31507990.511685174,2490.0523065061234,20026.436008319957,0.0
2021-01-31,31507950.643865217,2423.377965066115,20132.978169718364,0.0
2021-02-01,31507932.308756065,2341.237593965627,20233.45364997026,0.0
2021-02-02,31507894.476024315,2285.91487366648,20326.609102019556,0.0
2021-02-03,31507765.109069824,2327.183939152162,20414.706991023777,0.0
2021-02-04,31507677.18260478,2324.027672202533,20505.78972301829,0.0
2021-02-05,31507646.711553395,2264.1333754097227,20596.155071196008,0.0
2021-02-06,31507598.69232875,2227.210305250716,20681.097365999034,0.0
2021-02-07,31507560.09781558,2184.3518499149063,20762.55033450485,0.0
2021-02-08,31507545.910567254,2121.050646371969,20840.038786375262,0.0
2021-02-09,31507524.110761184,2071.0034427230953,20911.885796092258,0.0
2021-02-10,31507437.670190163,2090.1101569770785,20979.219652857813,0.0
2021-02-11,31507345.566288427,2113.631013947981,21047.80269762262,0.0
2021-02-12,31507295.805301916,2093.1996397902985,21117.99505829219,0.0
2021-02-13,31507248.395277206,2072.4640696877036,21186.140653103324,0.0
2021-02-14,31507224.32598047,2030.4495519036243,21252.224467621887,0.0
2021-02-15,31507192.587102808,1999.9222390956238,21314.490658091778,0.0
2021-02-16,31507080.1595561,2052.928693250687,21373.911750646253,0.0
2021-02-17,31506883.02911485,2186.53561171088,21437.435273432828,0.0
2021-02-18,31506703.216291215,2292.053155938877,21511.730552837667,0.0
2021-02-19,31506556.77494398,2355.8127439959503,21594.412312016404,0.0
2021-02-20,31506462.74700554,2362.2802862442863,21681.972708207984,0.0
2021-02-21,31506398.156869084,2339.2110224860107,21769.63210842522,0.0
2021-02-22,31506374.005029626,2278.0565076196717,21854.938462749433,0.0
2021-02-23,31506321.27972194,2250.977817487239,21934.74246056812,0.0
2021-02-24,31506224.953434244,2270.1466586357983,22011.89990711672,0.0
2021-02-25,31506138.01293378,2278.7244859690272,22090.26258024791,0.0
2021-02-26,31506073.46424668,2264.590353633598,22168.945399682096,0.0
2021-02-27,31505983.308973677,2277.6293542820094,22246.061672035274,0.0
2021-02-28,31505948.53928204,2234.5861178766027,22323.874600080504,0.0
2021-03-01,31505914.15865504,2195.1154700928446,22397.72587486386,0.0
2021-03-02,31505866.147284415,2172.9208860751387,22467.931829507248,0.0
2021-03-03,31505771.48694356,2199.568452530902,22535.94460390395,0.0
2021-03-04,31505666.166666582,2235.0042709708373,22605.829062444496,0.0
2021-03-05,31505586.195811894,2242.498916480258,22678.305271622852,0.0
2021-03-06,31505485.58733825,2270.3715064123962,22751.041155332598,0.0
2021-03-07,31505404.342544027,2276.9306713801675,22825.726784588165,0.0
2021-03-08,31505362.47117795,2243.9454256556137,22900.58339638978,0.0
2021-03-09,31505270.97409493,2263.6979553261976,22972.327949737246,0.0
2021-03-10,31505164.83573468,2296.8110250341233,23045.353240280634,0.0
2021-03-11,31505074.062500883,2312.175709956291,23120.761789157063,0.0
2021-03-12,31504978.66630983,2331.265126029919,23197.068564137648,0.0
2021-03-13,31504897.65165265,2334.7701205694357,23274.578226777445,0.0
2021-03-14,31504785.024543785,2369.9842005621726,23351.99125565082,0.0
2021-03-15,31504726.784500062,2348.275511915512,23431.93998801923,0.0
2021-03-16,31504700.9442,2296.3686444265245,23509.687155568117,0.0
2021-03-17,31504594.49263578,2329.770046939123,23582.73731727768,0.0
