Date,S,I,R,V
2021-02-02,13945067.562670818,5301.162569109886,21791.27476007599,0.0
2021-02-03,13945003.519044617,5219.706765792612,21936.774189592885,0.0
2021-02-04,13944906.202915566,5176.160841034566,22077.636243402965,0.0
2021-02-05,13944837.591096783,5106.705120664907,22215.70378255561,0.0
2021-02-06,13944765.669615695,5044.583274872991,22349.74710943475,0.0
2021-02-07,13944695.418351242,4984.443277679087,22480.138371081477,0.0
2021-02-08,13944665.819043098,4887.190000350491,22606.990956554666,0.0
2021-02-09,13944642.85399788,4788.604880333667,22728.541121788716,0.0
2021-02-10,13944578.496703489,4736.751846077651,22844.751450435786,0.0
2021-02-11,13944440.72046074,4761.387757465924,22957.891781795337,0.0
2021-02-12,13944357.509919649,4730.841145107559,23071.648935244724,0.0
2021-02-13,13944308.868164325,4667.760770142396,23183.371065533665,0.0
2021-02-14,13944269.785019653,4598.7082531755605,23291.506727172833,0.0
2021-02-15,13944229.242553288,4534.970257023134,23395.787189689396,0.0
2021-02-16,13944164.221489236,4499.2916846860235,23496.48682607806,0.0
2021-02-17,13944034.703923367,4530.325683821095,23594.9703928126,0.0
2021-02-18,13943885.678775331,4579.8700509976825,23694.45117367195,0.0
2021-02-19,13943770.1510312,4594.036288549793,23795.812680251478,0.0
2021-02-20,13943706.1300946,4556.522546699403,23897.347358700612,0.0
2021-02-21,13943636.616831394,4526.809464457832,23996.57370414868,0.0
2021-02-22,13943609.599699914,4456.522610163856,24093.877689921912,0.0
2021-02-23,13943578.069088364,4394.609524875991,24187.32138676017,0.0
2021-02-24,13943516.005695298,4366.668267681944,24277.32603702042,0.0
2021-02-25,13943493.392325483,4301.068190833211,24365.53948368405,0.0
2021-02-26,13943443.220022902,4266.616917673216,24450.163059425624,0.0
2021-02-27,13943404.470838198,4222.819305624902,24532.70985617681,0.0
2021-02-28,13943360.13438748,4187.123978954906,24612.74163356592,0.0
2021-03-01,13943335.198095648,4134.142027965071,24690.65987638793,0.0
2021-03-02,13943333.65139503,4060.7032106227475,24765.645394348314,0.0
2021-03-03,13943309.479622003,4013.7894565128554,24836.730921486465,0.0
2021-03-04,13943283.66327661,3971.1275626002384,24905.209160791648,0.0
2021-03-05,13943240.189322416,3948.5134395954274,24971.2972379925,0.0
2021-03-06,13943210.045808606,3913.984794494847,25035.96939690312,0.0
2021-03-07,13943163.225655591,3898.1135243590943,25098.66082005436,0.0
2021-03-08,13943150.718959691,3849.0040751898578,25160.276965123325,0.0
2021-03-09,13943087.520344516,3853.2518795807446,25219.227775906824,0.0
2021-03-10,13943029.616483396,3852.2957893608686,25278.087727247166,0.0
2021-03-11,13942968.006922033,3855.385591471547,25336.607486500252,0.0
2021-03-12,13942887.689959465,3877.3270830809124,25394.982957458385,0.0
2021-03-13,13942767.664874252,3938.215383093029,25454.119742658975,0.0
2021-03-14,13942705.935472965,3938.1810447045636,25515.883482334146,0.0
2021-03-15,13942672.514890376,3910.1483545587444,25577.336755068292,0.0
2021-03-16,13942621.401574152,3901.4612335399247,25637.13719231177,0.0
2021-03-17,13942552.587260114,3911.1910943300086,25696.221645560126,0.0
2021-03-18,13942508.068368342,3896.453921802168,25755.477709860166,0.0
2021-03-19,13942424.84575689,3921.424133555664,25813.73010955737,0.0
2021-03-20,13942372.914407438,3914.195775144992,25872.88981742026,0.0
2021-03-21,13942301.278856525,3927.314377938032,25931.406765540116,0.0
2021-03-22,13942266.935890352,3902.8032877970063,25990.26082185344,0.0
2021-03-23,13942249.887194462,3862.46872998275,26047.64407555843,0.0
2021-03-24,13942227.125414839,3830.0702309435783,26102.80435421981,0.0
2021-03-25,13942191.63943661,3812.2268598582864,26156.133703534004,0.0
2021-03-26,13942141.420105128,3810.2399705850885,26208.339924289532,0.0
2021-03-27,13942058.46180475,3841.3484519970043,26260.189743256167,0.0
2021-03-28,13941981.762753466,3864.963726301148,26313.273520235743,0.0
2021-03-29,13941940.329121068,3852.445467438693,26367.22541149702,0.0
2021-03-30,13941899.165248126,3840.5280850016356,26420.30666687659,0.0
2021-03-31,13941839.26678146,3848.182736921557,26472.550481622286,0.0
2021-04-01,13941749.629533868,3885.4699655493223,26524.900500586406,0.0
2021-04-02,13941650.25403637,3930.9674072029547,26578.778556429843,0.0
2021-04-03,13941559.147929152,3966.280971657213,26634.571099193432,0.0
2021-04-04,13941458.320784649,4009.899485017667,26691.779730337013,0.0
2021-04-05,13941361.779683301,4047.424309736819,26750.796006966175,0.0
2021-04-06,13941276.533663336,4072.1479428694515,26811.318393798712,0.0
2021-04-07,13941136.590255305,4150.684841611717,26872.724903087452,0.0
2021-04-08,13940998.95387982,4223.451969214355,26937.594150969377,0.0
2021-04-09,13940853.641850576,4300.726274692066,27005.63187473682,0.0
2021-04-10,13940705.67000995,4377.291413506847,27077.038576548355,0.0
2021-04-11,13940575.055202832,4433.1814256585185,27151.763371513942,0.0
2021-04-12,13940436.81401969,4494.38871722691,27228.79726308798,0.0
2021-04-13,13940314.958006004,4536.658058800018,27308.383935199432,0.0
2021-04-14,13940139.49992568,4630.898471977617,27389.601602345836,0.0
2021-04-15,13939977.447933692,4707.615345322692,27474.936720989033,0.0
2021-04-16,13939813.822617298,4782.649808747203,27563.527573959575,0.0
2021-04-17,13939647.640255168,4857.082617927337,27655.277126909645,0.0
2021-04-18,13939502.916640803,4906.9426522668255,27750.14070693561,0.0
2021-04-19,13939389.667344337,4923.409404958018,27846.92325070974,0.0
